ESQUINA,COLONIA,ALCALDIA,BOTON,ALTAVOZ,LONGITUD ,LATITUD ,geopoint,TIPO DE POSTE,ESTATUS CONECTIVIDAD,INCREMENTO 100 Mbps
ENTRE C. DONCELES Y C. REPUBLICA DE CUBA,CENTRO,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,-99.139096,19.436737,"19.436737,-99.139096",9m,WIFI GRATUITO_ACTIVO,SI
C. LAMARTINE,CHAPULTEPEC MORALES,MIGUEL HIDALGO,SIN BOTON,CON ALTAVOZ,-99.189822,19.431448,"19.431448,-99.189822",9m,WIFI GRATUITO_ACTIVO,SI
C. TRABAJO,BARRIO LA FAMA,TLALPAN,SIN BOTON,CON ALTAVOZ,-99.176348,19.291954,"19.291954,-99.176348",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE AV. INSURGENTES SUR Y C. VIA ENCINOS,FRACCIONAMIENTO CONDOMINIO DEL BOSQUE,TLALPAN,CON BOTON,CON ALTAVOZ,-99.186414,19.295732,"19.295732,-99.186414",9m,WIFI GRATUITO_ACTIVO,SI
EJE 1 PONIENTE BUCARELI,JUAREZ,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,-99.153726,19.425926,"19.425926,-99.153726",9m,WIFI GRATUITO_ACTIVO,SI
RIO MARNE,CUAUHTEMOC,CUAUHTEMOC,SIN BOTON,CON ALTAVOZ,-99.161044,19.430513,"19.430513,-99.161044",9m,WIFI GRATUITO_ACTIVO,SI
C. VICTOR HUGO,NUEVA ANZURES,MIGUEL HIDALGO,CON BOTON,CON ALTAVOZ,-99.178414,19.426947,"19.426947,-99.178414",9m,WIFI GRATUITO_ACTIVO,SI
CALZ. GENERAL MARIANO ESCOBEDO,ANZURES,MIGUEL HIDALGO,SIN BOTON,CON ALTAVOZ,-99.180949,19.43133,"19.43133,-99.180949",9m,WIFI GRATUITO_ACTIVO,SI
C. AGUIAR Y SEIJAS,LOMAS DE CHAPULTEPEC,MIGUEL HIDALGO,SIN BOTON,CON ALTAVOZ,-99.207806,19.420685,"19.420685,-99.207806",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE AV. ISURGENTES SUR Y AV. REVOLUCION,SAN ANGEL,ALVARO OBREGON,CON BOTON,CON ALTAVOZ,-99.188297,19.348764,"19.348764,-99.188297",9m,WIFI GRATUITO_ACTIVO,SI
ESQ DANUBIO,CUAUHTEMOC,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,-99.166563,19.427908,"19.427908,-99.166563",9m,WIFI GRATUITO_ACTIVO,SI
RÍO SENA,CUAUHTEMOC,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,-99.165909,19.429777,"19.429777,-99.165909",9m,WIFI GRATUITO_ACTIVO,SI
ESQ. RIO NILO,CUAUHTEMOC,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,-99.17044,19.425994,"19.425994,-99.17044",9m,WIFI GRATUITO_ACTIVO,SI
ESQ. RIO DE LA PLATA,CUAUHTEMOC,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,-99.173105,19.424799,"19.424799,-99.173105",9m,WIFI GRATUITO_ACTIVO,SI
C. OMETUSCO,CONDESA,CUAUHTEMOC,SIN BOTON,CON ALTAVOZ,-99.173431,19.406971,"19.406971,-99.173431",9m,WIFI GRATUITO_ACTIVO,SI
ENTRE CHICONTEPEC Y ALFONSO REYES,HIPODROMO CONDESA,CUAUHTEMOC,CON BOTON,CON ALTAVOZ,-99.182727,19.410268,"19.410268,-99.182727",9m,WIFI GRATUITO_ACTIVO,SI
C. MONTES AUVERNIA,LOMAS DE REFORMA,MIGUEL HIDALGO,CON BOTON,CON ALTAVOZ,-99.224172,19.407489,"19.407489,-99.224172",9m,WIFI GRATUITO_ACTIVO,SI
BOULEVARD DE LOS VIRREYES,LOMAS VIRREYES,MIGUEL HIDALGO,CON BOTON,CON ALTAVOZ,-99.212816,19.417477,"19.417477,-99.212816",9m,WIFI GRATUITO_ACTIVO,SI
